Point,H_m,V_kmh,Maneuver,Segment_time_s,Segment_fuel_kg
1,400,260,START,0,0
2,400,320,RAZGON,1.44647,5.10684
3,400,380,RAZGON,1.43845,5.1425
4,400,440,RAZGON,1.44507,5.23045
5,400,500,RAZGON,1.46237,5.35813
6,400,560,RAZGON,1.4862,5.51157
7,400,620,RAZGON,1.51685,5.69271
8,400,680,RAZGON,1.55495,5.93218
9,400,740,RAZGON,1.60147,6.22359
10,400,800,RAZGON,1.65771,6.56114
11,400,860,RAZGON,1.72545,6.95411
12,970,860,PODIEM,57,226.105
13,1540,860,PODIEM,57,216.478
14,2110,860,PODIEM,57,208.106
15,2680,860,PODIEM,57,200.493
16,3250,860,PODIEM,57,193.414
17,3820,860,PODIEM,57,186.743
18,4390,860,PODIEM,57,180.398
19,4960,860,PODIEM,57,174.327
20,5530,860,PODIEM,57,168.487
21,6100,860,PODIEM,57,162.849
